ics_title,ics_description,facility_title,facility_description,standard_title,standard_description,standard_stage,standard_details.abstract,standard_details.Status,standard_details.Publication_date,standard_details.Edition,standard_details.Number_of_pages,standard_details.Technical_Committee,standard_details.ICS,standard_details.preview_doc,standard_details.Corrected_version_(en),standard_details.Corrected_version_(fr)
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.10,"Health care services in generalIncluding care homes, dementia care, assisted living, aesthetic surgery, chiropractic services, etc.",ISO/DIS 6763,Pandemic response — Social distancing and source control,40.60,,Under development,,1,12,ISO/TC 304 Healthcare organization management,13.100:Occupational safety. Industrial hygiene|03.100.01:Company organization and management in general|11.020.10:Health care services in general,https://www.iso.org/obp/ui/#!iso:std:82375:en,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.10,"Health care services in generalIncluding care homes, dementia care, assisted living, aesthetic surgery, chiropractic services, etc.",ISO/CD 21388-2,Acoustics — Tele Hearing Aid Fitting Management — Part 2: Tele-services as part of hearing aid fitting management (tHAFM),30.60,"This document is a supplement to ISO 21388 which applies to hearing aid fitting management (HAFM) services offered by hearing aid professionals (HAP). It focusses on tele-services which may substitute, or complement services defined in ISO 21388, and it defines services which shall be provided in the facilities of the HAP. Moreover, this document specifies important preconditions such as education, facilities and systems that are required to ensure proper tele-services. If not other stated all definitions and requirements of ISO 21388 also apply for this standard without further notice. Furthermore, it is tried to keep the structure if ISO 21388 to make it easier to use both standards together. It is recognized that certain populations with hearing loss such as children, persons with other disabilities or persons with implantable devices can require services outside the scope of this document. 
Other assisted tele-services provided by non-hearing aid professionals, self-fitting, and other non-hearing care related will also be outside of the scope.",Under development,,1,,ISO/TC 43 Acoustics,11.020.10:Health care services in general|11.180.15:Aids for deaf and hearing impaired people|17.140.01:Acoustic measurements and noise abatement in general,,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.10,"Health care services in generalIncluding care homes, dementia care, assisted living, aesthetic surgery, chiropractic services, etc.",ISO 21388:2020,Acoustics — Hearing aid fitting management (HAFM),60.60,"This document applies to hearing aid fitting management (HAFM) services offered by hearing aid professionals (HAP) when providing benefit for their clients. The provision of hearing aids relies on the knowledge and practices of a hearing aid professional, to ensure the proper fitting and adequate service in the interest of the client with hearing loss.
This document specifies general processes of HAFM from the client profile to the follow-up through administering, organising and controlling hearing aid fitting through all stages. It also specifies important preconditions such as education, facilities and systems that are required to ensure proper services.
The focus of this document is the services offered to the majority of adult clients with hearing impairment. It is recognized that certain populations with hearing loss such as children, persons with other disabilities or persons with implantable devices can require services outside the scope of this document. This document generally applies to air conduction hearing aids and for the most part also to bone conduction devices.
Hearing loss can be a consequence of serious medical conditions. Hearing aid professionals are not in a position to diagnose or treat such conditions. When assisting clients seeking hearing rehabilitation without prior medical examination, hearing aid professionals are expected to be observant of symptoms of such conditions and refer to proper medical care.
Further to the main body of the document, which specifies the HAFM requirements and processes, several informative annexes are provided. Appropriate education of hearing aid professionals is vital for exercising HAFM. Annex A defines the competencies required for the HAFM processes. Annex B offers a recommended curriculum for the education of hearing aid professionals. Annex C is an example of an appropriate fitting room. Annex D gives guidance on the referral of clients for medical or other specialist examination and treatment. Annex E is a recommendation for important information to be exchanged with the client during the process of HAFM. Annex F is a comprehensive terminology list offering definitions of the most current terms related to HAFM.
It is the intention that these annexes be helpful to those who wish to deliver HAFM of the highest quality.",Published,2020-03,1,43,ISO/TC 43 Acoustics,11.020.10:Health care services in general|11.180.15:Aids for deaf and hearing impaired people|17.140.01:Acoustic measurements and noise abatement in general,https://www.iso.org/obp/ui/#!iso:std:74602:en,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.10,"Health care services in generalIncluding care homes, dementia care, assisted living, aesthetic surgery, chiropractic services, etc.",ISO 25551:2021,Ageing societies — General requirements and guidelines for carer-inclusive organizations,60.60,"This document specifies requirements and provides guidelines for an organizational program for working carers providing care to:
—    adult care recipients (e.g. adults with cognitive, sensory, physical, and invisible disabilities, adults with chronic or episodic conditions and older dependents);
—    long-term childcare recipients (e.g. due to chronic illness or permanent cognitive, sensory or physical disability or injury).
This document is applicable to any organization, regardless of size, sector or community setting (i.e. urban, rural or remote).
This document can be used in conjunction with an organization’s management systems, human resource programs, and/or equity, diversity and inclusion programs, or on its own in the absence of a formal workplace program to support working carers.",Published,2021-11,1,21,ISO/TC 314 Ageing societies,03.080.30:Services for consumers|03.100.30:Management of human resources|11.020.10:Health care services in general,https://www.iso.org/obp/ui/#!iso:std:77288:en,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.10,"Health care services in generalIncluding care homes, dementia care, assisted living, aesthetic surgery, chiropractic services, etc.",ISO 25552:2022,Ageing societies — Framework for dementia-inclusive communities,60.60,"This document provides a framework for dementia-inclusive communities, including principles and the considerations of inclusion, quality of life, built environments, special needs groups, and stakeholder engagement. It also provides guidance on how to systematically leverage, improve, and interconnect their existing assets and structures and transform efficiently into a dementia-inclusive community.
This document does not provide any clinical standards.",Published,2022-02,1,41,ISO/TC 314 Ageing societies,11.020.10:Health care services in general,https://www.iso.org/obp/ui/#!iso:std:76436:en,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.10,"Health care services in generalIncluding care homes, dementia care, assisted living, aesthetic surgery, chiropractic services, etc.",ISO/CD 25554,ISO 25554 — Ageing Societies-- Guidelines for Promoting Wellbeing in Local Communities and Organizations,30.60,,Under development,,1,,ISO/TC 314 Ageing societies,03.100.01:Company organization and management in general|11.020.10:Health care services in general|13.020.20:Environmental economics. Sustainability,,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.10,"Health care services in generalIncluding care homes, dementia care, assisted living, aesthetic surgery, chiropractic services, etc.",ISO/CD TR 25555,"Ageing societies — Accessibility and usability considerations for home-based healthcare products, related services and environments",30.99,,Under development,,1,,ISO/TC 314 Ageing societies,13.180:Ergonomics|11.020.10:Health care services in general,,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.20,"Medical scienceIncluding regenerative medicine, cell therapy, stratified medicine",ISO 12749-6:2020,"Nuclear energy, nuclear technologies, and radiological protection — Vocabulary — Part 6: Nuclear medicine",60.60,"This document contains the terms, definitions, notes to entry and examples corresponding to the frequently used concepts which apply to diagnostic and therapeutic nuclear medicine.
It comprises the minimum essential information for each nuclear medicine concept represented by a single term. It provides the reader with the information required to approach this multidisciplinary speciality, such as medical, radiopharmacy and medical physics point of view. It is intended to facilitate communication and promote common understanding.",Published,2020-11,1,18,"ISO/TC 85 Nuclear energy, nuclear technologies, and radiological protection",13.280:Radiation protection|01.040.11:Health care technology (Vocabularies)|01.040.13:Environment. Health protection. Safety (Vocabularies)|11.020.20:Medical science,https://www.iso.org/obp/ui/#!iso:std:75176:en,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.99,Other standards related to health care in general,IWA 38:2021,Requirements and recommendations for the construction of emergency medical facilities,60.60,"This document provides requirements and recommendations for the rapid construction of emergency medical facilities, including various categories of public health emergencies, for handling large numbers of casualties and patients. The functional composition of emergency medical facilities is determined by the characteristics of the emergencies.
This document is applicable to new projects built on new sites or within existing medical institutions, where emergency medical facilities are constructed rapidly from steel-frames and prefabricated standard plates or box structures.",Published,2021-12,1,14,ISO/TMBG Technical Management Board - groups,11.020.99:Other standards related to health care in general|91.040.10:Public buildings,https://www.iso.org/obp/ui/#!iso:std:81530:en,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.99,Other standards related to health care in general,ISO/FDIS 4904,Traditional Chinese Medicine — Inner pack of decoction pieces,50.00,,Under development,,1,,ISO/TC 249 Traditional Chinese medicine,11.020.99:Other standards related to health care in general,,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.99,Other standards related to health care in general,ISO/TS 6304:2022,Traditional Chinese medicine — Categorial structure for disorders,60.60,"This document aims to specify a categorial structure in the field of disorder representation in traditional Chinese medicine (TCM) by defining a set of domain constraints for use within terminological resources. It contains a concept detailing the domains of four subcategories: body parts, causative agents, pathological process and manifestation.
This document does not include:
—    a comprehensive categorial structure for TCM;
—    a treatment procedure for TCM;
—    relevant devices;
—    terms or descriptions for subcategories of body parts, causative agents, pathological process or manifestation.",Published,2022-05,1,7,ISO/TC 249 Traditional Chinese medicine,01.040.11:Health care technology (Vocabularies)|11.020.99:Other standards related to health care in general,https://www.iso.org/obp/ui/#!iso:std:82173:en,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.99,Other standards related to health care in general,ISO/TR 11991:1995,Guidance on airway management during laser surgery of upper airway,95.99,"Intended to help minimize the risk of an airway fire when using a laser. Represents current knowledge at the time of publication and is subject to review. Does not address management of the patient with a tracheotomy. Also intended to assist related groups, such as laser safety committees.",Withdrawn,1995-07,1,10,ISO/TC 121/SC 2 Airway devices and related equipment,11.020.99:Other standards related to health care in general,,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.99,Other standards related to health care in general,ISO 18662-1:2017,Traditional Chinese medicine — Vocabulary — Part 1: Chinese Materia Medica,90.60,"ISO 18662-1:2017 specifies the basic vocabulary for the Chinese Materia Medica (CMM), including most commonly used CMM species. Each term is provided a Latin name, Chinese name, Pinyin name and English name. Source-related definition of applicable parts and botanical name(s) of the plant, zoological family name of the animal, or mineral stated with mineral or rock title and active ingredients are given as note(s) for each item.
ISO 18662-1:2017 is intended to be used by those engaged in the practice and management of production, trade, research and education of crude natural Chinese medicinal materials.",Published,2017-07,1,143,ISO/TC 249 Traditional Chinese medicine,01.040.11:Health care technology (Vocabularies)|11.020.99:Other standards related to health care in general,https://www.iso.org/obp/ui/#!iso:std:63148:en,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.99,Other standards related to health care in general,ISO 18662-2:2020,Traditional Chinese medicine — Vocabulary — Part 2: Processing of Chinese Materia Medica,60.60,"This document defines terms for the theory, technology and methods of Chinese Materia Medica processing. It is not applicable to Kampo medicine.",Published,2020-03,1,24,ISO/TC 249 Traditional Chinese medicine,01.040.11:Health care technology (Vocabularies)|11.020.99:Other standards related to health care in general,https://www.iso.org/obp/ui/#!iso:std:71024:en,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.99,Other standards related to health care in general,ISO 19465:2017,Traditional Chinese medicine — Categories of traditional Chinese medicine (TCM) clinical terminological systems,90.93,"ISO 19465:2017 specifies a categorial structure within the subject field of traditional Chinese medicine (TCM) clinical practice. It describes the upper-level categories of TCM clinical terms and the nomenclature of the hierarchical categories. It is applicable only to clinical terminological systems in TCM disciplines, not to a comprehensive categorial structure of TCM, the conceptual definition of the hierarchy categories, and terms for individual TCM concepts.
The following are considered outside the scope of this document:
-      comprehensive categories of TCM;
-      the conceptual definition of the hierarchy categories.
-      terms for individual TCM concepts;
-      the terms or categories of Kampo, Korean medicine and other traditional medicines.",Published,2017-02,1,8,ISO/TC 249 Traditional Chinese medicine,01.040.11:Health care technology (Vocabularies)|11.020.99:Other standards related to health care in general,https://www.iso.org/obp/ui/#!iso:std:64962:en,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.99,Other standards related to health care in general,ISO 21300:2019,Traditional Chinese medicine — Guidelines and specification for Chinese materia medica,60.60,This document specifies the general requirements for Chinese materia medica specification. This specification is relevant for dividing Chinese materia medica into categories. It provides guidelines for writing the specifications of individual Chinese materia medica.,Published,2019-03,1,9,ISO/TC 249 Traditional Chinese medicine,11.020.99:Other standards related to health care in general,https://www.iso.org/obp/ui/#!iso:std:70496:en,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.99,Other standards related to health care in general,ISO/TS 21831:2020,Information model of Chinese materia medica processing,90.20,"This document specifies an information model within the field of Chinese materia medica processing. It defines a set of domain constraints of sanctioned characteristics, each composed of a relationship and an applicable information model. 
This model aims at representing the concepts applicable to Chinese materia medica processing in the making of decoction pieces. 
This document is not applicable to Japanese traditional Kampo medicine.",Published,2020-01,1,11,ISO/TC 215 Health informatics,11.020.99:Other standards related to health care in general,https://www.iso.org/obp/ui/#!iso:std:72079:en,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.99,Other standards related to health care in general,ISO 21998:2020,Interpreting services — Healthcare interpreting — Requirements and recommendations,60.60,"This document specifies requirements and recommendations for healthcare interpreting services in spoken and signed communication. It is applicable to all situations requiring healthcare interpreting, where the parties involved need to communicate using spoken or signed language, to treat a health-related issue. It is intended for interpreting service providers and healthcare interpreters.",Published,2020-12,1,18,"ISO/TC 37/SC 5 Translation, interpreting and related technology",01.020:Terminology (principles and coordination)|11.020.99:Other standards related to health care in general,https://www.iso.org/obp/ui/#!iso:std:72344:en,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.99,Other standards related to health care in general,ISO 22217:2020,Traditional Chinese medicine —Storage requirements for raw materials and decoction pieces,60.60,"This document specifies the general storage requirements for raw materials and decoction pieces.
It is applicable to the storage of raw materials and decoction pieces used in traditional Chinese medicine.",Published,2020-07,1,51,ISO/TC 249 Traditional Chinese medicine,11.020.99:Other standards related to health care in general,https://www.iso.org/obp/ui/#!iso:std:72894:en,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.99,Other standards related to health care in general,ISO/TS 22990:2019,Traditional Chinese medicine — Categories of clinical terminological system to support the integration of clinical terms from traditional Chinese medicine and Western medicine,90.93,"This document establishes the core classification framework for the integration of clinical terms from traditional Chinese medicine (TCM) and Western medicine. This structure supports terminology integration in standardized electronic medical records, including professional clinical terms in TCM and Western medicine. Non-technical terms for electronic medical records are also included.",Published,2019-05,1,8,ISO/TC 249 Traditional Chinese medicine,01.040.11:Health care technology (Vocabularies)|11.020.99:Other standards related to health care in general,https://www.iso.org/obp/ui/#!iso:std:74298:en,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.99,Other standards related to health care in general,ISO/ASTM 51939:2013,Practice for blood irradiation dosimetry,95.99,"ISO/ASTM 51939:2013 outlines irradiator installation qualification, operational qualification, performance qualification and routine product processing dosimetric procedures to be followed in the irradiation of blood and blood components by the blood-banking community. If followed, these procedures will help to ensure that the products processed with ionizing radiation from gamma, X-radiation (bremsstrahlung), or electron sources receive absorbed doses within a predetermined range. ISO/ASTM 51939:2013 covers dosimetry for the irradiation of blood for these types of irradiators: self-contained irradiators (free-standing irradiators) utilizing 137Cs, 60Co or X-radiation (bremsstrahlung), teletherapy units, and electron accelerators. ISO/ASTM 51939:2013 also covers the use of radiation-sensitive indicators for the visual and qualitative indication that the product has been irradiated.",Withdrawn,2013-10,3,13,"ISO/TC 85 Nuclear energy, nuclear technologies, and radiological protection",17.240:Radiation measurements|11.020.99:Other standards related to health care in general,,,
11.020,"Medical sciences and health care facilities in generalForensic science, see 07.140",11.020.99,Other standards related to health care in general,ISO/ASTM 51939:2017,Practice for blood irradiation dosimetry,90.93,"1.1 This practice outlines the irradiator installation qualiﬁ-cation program and the dosimetric procedures to be followed during operational qualiﬁcation and performance qualiﬁcation of the irradiator. Procedures for the routine radiation process-ing of blood product (blood and blood components) are also given. If followed, these procedures will help ensure that blood product exposed to gamma radiation or X-radiation (bremsstrahlung) will receive absorbed doses with a speciﬁed range.
1.2 This practice covers dosimetry for the irradiation of blood product for self-contained irradiators (free-standing irradiators) utilizing radionuclides such as 137Cs and 60Co, or X-radiation (bremsstrahlung). The absorbed dose range for blood irradiation is typically 15 Gy to 50 Gy.
1.3 The photon energy range of X-radiation used for blood irradiation is typically from 40 keV to 300 keV.
1.4 This practice also covers the use of radiation-sensitive indicators for the visual and qualitative indication that the product has been irradiated (see ISO/ASTM Guide 51539).
1.5 ISO 51939:2017 is one of a set of standards that provides recommendations for properly implementing dosimetry in radiation processing and describes a means of achieving compliance with the requirements of ISO/ASTM Practice 52628 for dosimetry performed for blood irradiation. It is intended to be read in conjunction with ISO/ASTM Practice 52628.
1.6 ISO 51939:2017 does not purport to address all of the safety concerns, if any, associated with its use. It is the responsibility of the user of this standard to establish appro-priate safety and health practices and to determine the applicability or regulatory limitations prior to use.",Published,2017-02,4,13,"ISO/TC 85 Nuclear energy, nuclear technologies, and radiological protection",17.240:Radiation measurements|11.020.99:Other standards related to health care in general,https://www.iso.org/obp/ui/#!iso:std:71031:en,,
11.040,Medical equipment,11.040.01,Medical equipment in general,ISO/IEC Guide 63:2019,Guide to the development and inclusion of aspects of safety in International Standards for medical devices,60.60,"This document provides requirements and recommendations to writers of medical device standards on the inclusion of aspects related to safety in International Standards, based on well-established risk management concepts and methodology.
This document is applicable to any aspect related to the safety of people, property, the environment, or a combination of these.
In this document, the term ""product"" includes a medical device or a system consisting of one or more medical devices, possibly combined with non-medical devices.",Published,2019-08,3,26,ISO/TMBG Technical Management Board - groups,01.120:Standardization. General rules|11.040.01:Medical equipment in general,https://www.iso.org/obp/ui/#!iso:std:67944:en,,
11.040,Medical equipment,11.040.01,Medical equipment in general,ISO/CD 5137,Maintenance management program for medical equipment,30.98,,Deleted,,1,,ISO/TC 210 Quality management and corresponding general aspects for products with a health purpose including medical devices,11.040.01:Medical equipment in general,,,
11.040,Medical equipment,11.040.01,Medical equipment in general,ISO 13485:1996,Quality systems — Medical devices — Particular requirements for the application of ISO 9001,95.99,"Specifies, in conjunction with the application of ISO 9001, the quality system requirements for the design/development and, when relevant, installation and servicing of medical devices.",Withdrawn,1996-12,1,10,ISO/TC 210 Quality management and corresponding general aspects for products with a health purpose including medical devices,03.100.70:Management systems|11.040.01:Medical equipment in general,,,
11.040,Medical equipment,11.040.01,Medical equipment in general,ISO 13485:2003,Medical devices — Quality management systems — Requirements for regulatory purposes,95.99,"ISO 13485:2003 specifies requirements for a quality management system where an organization needs to demonstrate its ability to provide medical devices and related services that consistently meet customer requirements and regulatory requirements applicable to medical devices and related services. 
The primary objective of ISO 13485:2003 is to facilitate harmonized medical device regulatory requirements for quality management systems. As a result, it includes some particular requirements for medical devices and excludes some of the requirements of ISO 9001 that are not appropriate as regulatory requirements. Because of these exclusions, organizations whose quality management systems conform to this International Standard cannot claim conformity to ISO 9001 unless their quality management systems conform to all the requirements of ISO 9001.
All requirements of ISO 13485:2003 are specific to organizations providing medical devices, regardless of the type or size of the organization.
If regulatory requirements permit exclusions of design and development controls, this can be used as a justification for their exclusion from the quality management system. These regulations can provide alternative arrangements that are to be addressed in the quality management system. It is the responsibility of the organization to ensure that claims of conformity with ISO 13485:2003 reflect exclusion of design and development controls.
If any requirement(s) in Clause 7 of ISO 13485:2003 is(are) not applicable due to the nature of the medical device(s) for which the quality management system is applied, the organization does not need to include such a requirement(s) in its quality management system.
The processes required by ISO 13485:2003, which are applicable to the medical device(s), but which are not performed by the organization, are the responsibility of the organization and are accounted for in the organization's quality management system.",Withdrawn,2003-07,2,57,ISO/TC 210 Quality management and corresponding general aspects for products with a health purpose including medical devices,03.100.70:Management systems|11.040.01:Medical equipment in general,,,
11.040,Medical equipment,11.040.01,Medical equipment in general,ISO 13485:2003/Cor 1:2009,Medical devices — Quality management systems — Requirements for regulatory purposes — Technical Corrigendum 1,95.99,,Withdrawn,2009-08,2,1,ISO/TC 210 Quality management and corresponding general aspects for products with a health purpose including medical devices,03.120.10:Quality management and quality assurance|11.040.01:Medical equipment in general,,,
11.040,Medical equipment,11.040.01,Medical equipment in general,ISO 13485:2016,Medical devices — Quality management systems — Requirements for regulatory purposes,90.93,"ISO 13485:2016 specifies requirements for a quality management system where an organization needs to demonstrate its ability to provide medical devices and related services that consistently meet customer and applicable regulatory requirements. Such organizations can be involved in one or more stages of the life-cycle, including design and development, production, storage and distribution, installation, or servicing of a medical device and design and development or provision of associated activities (e.g. technical support). ISO 13485:2016 can also be used by suppliers or external parties that provide product, including quality management system-related services to such organizations.
Requirements of ISO 13485:2016 are applicable to organizations regardless of their size and regardless of their type except where explicitly stated. Wherever requirements are specified as applying to medical devices, the requirements apply equally to associated services as supplied by the organization.
The processes required by ISO 13485:2016 that are applicable to the organization, but are not performed by the organization, are the responsibility of the organization and are accounted for in the organization's quality management system by monitoring, maintaining, and controlling the processes.
If applicable regulatory requirements permit exclusions of design and development controls, this can be used as a justification for their exclusion from the quality management system. These regulatory requirements can provide alternative approaches that are to be addressed in the quality management system. It is the responsibility of the organization to ensure that claims of conformity to ISO 13485:2016 reflect any exclusion of design and development controls.
If any requirement in Clauses 6, 7 or 8 of ISO 13485:2016 is not applicable due to the activities undertaken by the organization or the nature of the medical device for which the quality management system is applied, the organization does not need to include such a requirement in its quality management system. For any clause that is determined to be not applicable, the organization records the justification as described in 4.2.2.",Published,2016-03,3,36,ISO/TC 210 Quality management and corresponding general aspects for products with a health purpose including medical devices,03.100.70:Management systems|11.040.01:Medical equipment in general,https://www.iso.org/obp/ui/#!iso:std:59752:en,,
11.040,Medical equipment,11.040.01,Medical equipment in general,ISO 13488:1996,Quality systems — Medical devices — Particular requirements for the application of ISO 9002,95.99,"Specifies, in conjunction with the application of ISO 9002, the quality system requirements for the production and, when relevant, installation and servicing of medical devices.",Withdrawn,1996-12,1,9,ISO/TC 210 Quality management and corresponding general aspects for products with a health purpose including medical devices,03.120.10:Quality management and quality assurance|11.040.01:Medical equipment in general,,,
11.040,Medical equipment,11.040.01,Medical equipment in general,ISO 14969:1999,Quality systems — Medical devices — Guidance on the application of ISO 13485 and ISO 13488,95.99,,Withdrawn,1999-06,1,30,ISO/TC 210 Quality management and corresponding general aspects for products with a health purpose including medical devices,03.120.10:Quality management and quality assurance|11.040.01:Medical equipment in general,,,
11.040,Medical equipment,11.040.01,Medical equipment in general,ISO/TR 14969:2004,Medical devices — Quality management systems — Guidance on the application of ISO 13485: 2003,95.99,"ISO/TR 14969:2004 provides guidance for the application of the requirements for quality management systems contained in ISO 13485. It does not add to, or otherwise change, the requirements of ISO 13485. It does not include requirements to be used as the basis of regulatory inspection or certification assessment activities. 
This guidance can be used to better understand the requirements of ISO 13485 and to illustrate some of the variety of methods and approaches available for meeting the requirements of ISO 13485.",Withdrawn,2004-10,1,74,ISO/TC 210 Quality management and corresponding general aspects for products with a health purpose including medical devices,03.120.10:Quality management and quality assurance|11.040.01:Medical equipment in general,,,
