ics_title,facility_title,standard_title,standard_stage,facility_description,standard_status,is_deleted
11.040,11.040.99,ISO 20308:2017,90.93,Other medical equipment,Published,False
11.040,11.040.99,ISO 20493:2018,60.60,Other medical equipment,Published,False
11.040,11.040.99,ISO 20495:2018,90.20,Other medical equipment,Published,False
11.040,11.040.99,ISO 20498-1:2019,60.60,Other medical equipment,Published,False
11.040,11.040.99,ISO 20498-2:2017,90.93,Other medical equipment,Published,False
11.040,11.040.99,ISO/TS 20498-3:2020,90.20,Other medical equipment,Published,False
11.040,11.040.99,ISO/TS 20498-4:2020,60.60,Other medical equipment,Published,False
11.040,11.040.99,ISO/TR 20498-5:2019,60.60,Other medical equipment,Published,False
11.040,11.040.99,ISO 21292:2020,60.60,Other medical equipment,Published,False
11.040,11.040.99,ISO 21366:2019,60.60,Other medical equipment,Published,False
11.040,11.040.99,ISO 23907-1:2019,60.60,Other medical equipment,Published,False
11.040,11.040.99,ISO 23907-2:2019,60.60,Other medical equipment,Published,False
11.040,11.040.99,ISO 23907:2012,95.99,Other medical equipment,Withdrawn,False
11.040,11.040.99,ISO 23908:2011,90.92,Other medical equipment,Published,False
11.060,11.060.01,ISO 1942-1:1977,95.99,Dentistry in general,Withdrawn,False
11.060,11.060.01,ISO 1942-1:1989,95.99,Dentistry in general,Withdrawn,False
11.060,11.060.01,ISO 1942-1:1989/Amd 1:1992,95.99,Dentistry in general,Withdrawn,False
11.060,11.060.01,ISO 1942-1:1989/Amd 2:1992,95.99,Dentistry in general,Withdrawn,False
11.060,11.060.01,ISO 1942-1:1989/Amd 3:1993,95.99,Dentistry in general,Withdrawn,False
11.060,11.060.01,ISO 1942-1:1989/Amd 5:1993,95.99,Dentistry in general,Withdrawn,False
11.060,11.060.01,ISO 1942-2:1977,95.99,Dentistry in general,Withdrawn,False
11.060,11.060.01,ISO 1942-5:1989,95.99,Dentistry in general,Withdrawn,False
11.060,11.060.01,ISO 1942:1983,95.99,Dentistry in general,Withdrawn,False
11.060,11.060.01,ISO 1942:1983/Add 1:1983,95.99,Dentistry in general,Withdrawn,False
11.060,11.060.01,ISO 1942:1983/Add 2:1983,95.99,Dentistry in general,Withdrawn,False
11.060,11.060.01,ISO 1942:1983/Add 3:1983,95.99,Dentistry in general,Withdrawn,False
11.060,11.060.01,ISO 1942:1983/Add 4:1984,95.99,Dentistry in general,Withdrawn,False
11.060,11.060.01,ISO 1942:1983/Add 5:1985,95.99,Dentistry in general,Withdrawn,False
11.060,11.060.01,ISO 1942:1983/Add 6:1985,95.99,Dentistry in general,Withdrawn,False
11.060,11.060.01,ISO 1942:2009,95.99,Dentistry in general,Withdrawn,False
11.060,11.060.01,ISO 1942:2020,60.60,Dentistry in general,Published,False
11.060,11.060.01,ISO 1942:2020/CD Amd 1,30.00,Dentistry in general,Under development,False
11.060,11.060.01,ISO 3246:1977,95.99,Dentistry in general,Withdrawn,False
11.060,11.060.01,ISO 3950:1977,95.99,Dentistry in general,Withdrawn,False
11.060,11.060.01,ISO 3950:1984,95.99,Dentistry in general,Withdrawn,False
11.060,11.060.01,ISO 3950:2009,95.99,Dentistry in general,Withdrawn,False
11.060,11.060.01,ISO 3950:2016,90.93,Dentistry in general,Published,False
11.060,11.060.01,ISO/DIS 5365,40.00,Dentistry in general,Under development,False
11.060,11.060.01,ISO 10394:2023,60.60,Dentistry in general,Published,False
11.060,11.060.01,ISO 12836:2012,95.99,Dentistry in general,Withdrawn,False
11.060,11.060.01,ISO 12836:2015,90.93,Dentistry in general,Published,False
11.060,11.060.01,ISO 13078-2:2016,90.93,Dentistry in general,Published,False
11.060,11.060.01,ISO 13078-3:2023,60.60,Dentistry in general,Published,False
11.060,11.060.01,ISO/TR 13668:1998,95.99,Dentistry in general,Withdrawn,False
11.060,11.060.01,ISO/TR 15300:2001,60.60,Dentistry in general,Published,False
11.060,11.060.01,ISO/TR 15599:2002,60.60,Dentistry in general,Published,False
11.060,11.060.01,ISO/TR 15599:2002/Cor 1:2003,60.60,Dentistry in general,Published,False
11.060,11.060.01,ISO 16059:2007,90.60,Dentistry in general,Published,False
11.060,11.060.01,ISO 16202-1:2019,60.60,Dentistry in general,Published,False
11.060,11.060.01,ISO 16202-2:2019,60.60,Dentistry in general,Published,False
11.060,11.060.01,ISO 16443:2014,90.93,Dentistry in general,Published,False
11.060,11.060.01,ISO 17937:2015,90.93,Dentistry in general,Published,False
11.060,11.060.01,ISO 18618:2018,95.99,Dentistry in general,Withdrawn,False
11.060,11.060.01,ISO 18618:2022,90.92,Dentistry in general,Published,False
11.060,11.060.01,ISO/CD 18618,30.20,Dentistry in general,Under development,False
11.060,11.060.01,ISO 18739:2016,90.92,Dentistry in general,Published,False
11.060,11.060.01,ISO/TR 18845:2017,95.99,Dentistry in general,Withdrawn,False
11.060,11.060.01,ISO 20888:2020,60.60,Dentistry in general,Published,False
11.060,11.060.01,ISO 20896-1:2019,90.92,Dentistry in general,Published,False
11.060,11.060.01,ISO/TR 20896-2:2023,60.60,Dentistry in general,Published,False
11.060,11.060.01,ISO 21531:2009,90.93,Dentistry in general,Published,False
11.060,11.060.01,ISO/TR 22710:2019,60.60,Dentistry in general,Published,False
11.060,11.060.01,ISO 23298:2023,60.60,Dentistry in general,Published,False
11.060,11.060.01,ISO/FDIS 24395,50.20,Dentistry in general,Under development,False
11.060,11.060.10,ISO 1559:1978,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 1559:1986,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 1559:1995,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 1559:1995/Cor 1:1997,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 1560:1975,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 1560:1985,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 1561:1975,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 1561:1995,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 1562:1976,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 1562:1984,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 1562:1993,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 1562:2004,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 1563:1978,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 1563:1978/Amd 1:1981,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 1563:1990,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 1564:1976,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 1564:1995,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 1565:1978,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 1566:1978,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 1567:1978,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 1567:1988,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 1567:1999,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 1567:1999/Amd 1:2003,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 1942-2:1989,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 1942-2:1989/Amd 1:1992,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 1942-2:1989/Amd 2:1992,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 3106:1974,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 3107:1974,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 3107:1988,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 3107:2004,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 3107:2004/Cor 1:2006,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 3107:2011,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 3107:2022,60.60,Dental materials,Published,False
11.060,11.060.10,ISO 3336:1977,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 3336:1993,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 3824:1977,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 3824:1984,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 3851:1977,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 3990,60.00,Dental materials,Under development,False
11.060,11.060.10,ISO 4049:1978,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 4049:1988,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 4049:1988/Cor 1:1992,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 4049:2000,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 4049:2009,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 4049:2019,60.60,Dental materials,Published,False
11.060,11.060.10,ISO 4104:1984,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO/TS 4640:2023,60.60,Dental materials,Published,False
11.060,11.060.10,ISO 4823:1984,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 4823:1992,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 4823:2000,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 4823:2000/Amd 1:2007,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 4823:2000/Cor 1:2004,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 4823:2015,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 4823:2021,60.60,Dental materials,Published,False
11.060,11.060.10,ISO 4824:1981,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 4824:1993,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 4824:1993/Amd 1:1997,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 5139:2023,60.60,Dental materials,Published,False
11.060,11.060.10,ISO 6871-1:1994,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 6871-1:1994/Amd 1:2005,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 6871-1:1994/Cor 1:1998,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 6871-2:1994,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 6871-2:1994/Amd 1:2005,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 6871:1987,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 6872:1984,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 6872:1995,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 6872:1995/Amd 1:1997,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 6872:2008,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 6872:2015,90.92,Dental materials,Published,False
11.060,11.060.10,ISO 6872:2015/Amd 1:2018,60.60,Dental materials,Published,False
11.060,11.060.10,ISO 6873:1983,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 6873:1998,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 6873:2013,90.93,Dental materials,Published,False
11.060,11.060.10,ISO 6874:1988,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 6874:2005,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 6874:2015,90.93,Dental materials,Published,False
11.060,11.060.10,ISO 6876:1986,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 6876:2001,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 6876:2012,90.92,Dental materials,Published,False
11.060,11.060.10,ISO 6877:1995,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 6877:2006,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 6877:2021,90.92,Dental materials,Published,False
11.060,11.060.10,ISO/CD 6877,30.60,Dental materials,Under development,False
11.060,11.060.10,ISO 7405:1997,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO/TR 7405:1984,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 7405:2008,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 7405:2008/Amd 1:2013,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 7405:2018,90.92,Dental materials,Published,False
11.060,11.060.10,ISO/CD 7405,30.60,Dental materials,Under development,False
11.060,11.060.10,ISO 7489:1986,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 7490:1990,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 7490:2000,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 7491:1985,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 7491:2000,90.93,Dental materials,Published,False
11.060,11.060.10,ISO 7551:1996,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 7551:2023,60.60,Dental materials,Published,False
11.060,11.060.10,ISO 8891:1990,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 8891:1993,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 8891:1998,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 9333:1990,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 9333:2006,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 9333:2022,60.60,Dental materials,Published,False
11.060,11.060.10,ISO 9693-1:2012,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 9693-2:2016,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 9693:1991,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 9693:1999,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 9693:1999/Amd 1:2005,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 9693:2019,60.60,Dental materials,Published,False
11.060,11.060.10,ISO 9694:1996,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 9917-1:2003,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 9917-1:2007,90.92,Dental materials,Published,False
11.060,11.060.10,ISO/AWI 9917-1,10.99,Dental materials,Under development,False
11.060,11.060.10,ISO 9917-2:1998,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 9917-2:2010,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 9917-2:2017,90.60,Dental materials,Published,False
11.060,11.060.10,ISO 9917:1991,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 9917:1991/Cor 1:1993,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 10139-1:1991,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 10139-1:2005,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 10139-1:2005/Cor 1:2006,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 10139-1:2018,90.93,Dental materials,Published,False
11.060,11.060.10,ISO 10139-2:1999,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 10139-2:2009,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 10139-2:2016,90.93,Dental materials,Published,False
11.060,11.060.10,ISO 10271:2001,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO/TR 10271:1993,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 10271:2001/Cor 1:2005,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 10271:2011,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 10271:2020,60.60,Dental materials,Published,False
11.060,11.060.10,ISO 10477:1992,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 10477:1992/Amd 1:1998,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 10477:2004,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 10477:2018,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 10477:2020,90.92,Dental materials,Published,False
11.060,11.060.10,ISO/CD 10477,30.20,Dental materials,Under development,False
11.060,11.060.10,ISO 11244:1998,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 11245:1999,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 11246:1996,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO/TR 11405:1994,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO/TS 11405:2003,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO/TS 11405:2015,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 12163:1999,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 13017:2012,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 13017:2012/Amd 1:2015,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 13017:2020,60.60,Dental materials,Published,False
11.060,11.060.10,ISO 13116:2014,90.93,Dental materials,Published,False
11.060,11.060.10,ISO 13716:1999,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 13897:2003,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 13897:2003/Cor 1:2003,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 13897:2018,90.60,Dental materials,Published,False
11.060,11.060.10,ISO 14233:2003,90.93,Dental materials,Published,False
11.060,11.060.10,ISO 14356:2003,90.92,Dental materials,Published,False
11.060,11.060.10,ISO/DIS 14356,40.99,Dental materials,Under development,False
11.060,11.060.10,ISO/TR 14569-1:2007,60.60,Dental materials,Published,False
11.060,11.060.10,ISO/TS 14569-1:1999,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO/TS 14569-2:2001,90.93,Dental materials,Published,False
11.060,11.060.10,ISO 15841:2006,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 15841:2014,90.93,Dental materials,Published,False
11.060,11.060.10,ISO 15841:2014/Amd 1:2020,60.60,Dental materials,Published,False
11.060,11.060.10,ISO 15854:2005,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 15854:2021,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 15854:2023,60.60,Dental materials,Published,False
11.060,11.060.10,ISO 15912:2006,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 15912:2006/Amd 1:2011,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 15912:2016,90.93,Dental materials,Published,False
11.060,11.060.10,ISO/TS 16506:2017,90.93,Dental materials,Published,False
11.060,11.060.10,ISO 16744:2003,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 17254:2016,90.93,Dental materials,Published,False
11.060,11.060.10,ISO 17254:2016/Amd 1:2020,60.60,Dental materials,Published,False
11.060,11.060.10,ISO 17304:2013,90.93,Dental materials,Published,False
11.060,11.060.10,ISO/TS 17576:2004,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO/TS 17988:2014,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO/TS 17988:2020,90.60,Dental materials,Published,False
11.060,11.060.10,ISO 18675:2022,60.60,Dental materials,Published,False
11.060,11.060.10,ISO 19023:2018,90.60,Dental materials,Published,False
11.060,11.060.10,ISO/TS 20746:2016,90.93,Dental materials,Published,False
11.060,11.060.10,ISO 20749:2017,90.92,Dental materials,Published,False
11.060,11.060.10,ISO 20749,60.00,Dental materials,Under development,False
11.060,11.060.10,ISO 20795-1:2008,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 20795-1:2008/Cor 1:2009,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 20795-1:2013,90.93,Dental materials,Published,False
11.060,11.060.10,ISO 20795-2:2010,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 20795-2:2013,90.93,Dental materials,Published,False
11.060,11.060.10,ISO 21563:2013,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 21563:2021,60.60,Dental materials,Published,False
11.060,11.060.10,ISO 21606:2007,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 21606:2022,60.60,Dental materials,Published,False
11.060,11.060.10,ISO 22112:2005,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 22112:2017,90.60,Dental materials,Published,False
11.060,11.060.10,ISO 22598:2020,60.60,Dental materials,Published,False
11.060,11.060.10,ISO 22674:2006,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 22674:2016,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 22674:2022,60.60,Dental materials,Published,False
11.060,11.060.10,ISO 23325:2020,60.60,Dental materials,Published,False
11.060,11.060.10,ISO 23401-1:2023,60.60,Dental materials,Published,False
11.060,11.060.10,ISO 24234:2004,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 24234:2004/Amd 1:2011,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 24234:2015,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 24234:2021,60.60,Dental materials,Published,False
11.060,11.060.10,ISO 27020:2010,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 28319:2010,95.99,Dental materials,Withdrawn,False
11.060,11.060.10,ISO 28319:2018,90.20,Dental materials,Published,False
