is_deleted,title,description,abstract,status,publication_date,edition,no_of_pages,technical_committee,ics
False,ISO 11137-1:2006,"Sterilization of health care products — Radiation — Part 1: Requirements for development, validation and routine control of a sterilization process for medical devices","ISO 11137-1:2006 specifies requirements for the development, validation and routine control of a radiation sterilization process for medical devices. Although the scope of ISO 11137-1:2006 is limited to medical devices, it specifies requirements and provides guidance that may be applicable to other products and equipment.
ISO 11137-1:2006 covers radiation processes employing irradiators using the radionuclide 60Co or 137Cs, a beam from an electron generator or a beam from an X-ray generator.
ISO 11137-1:2006 does not:
specify requirements for development, validation and routine control of a process for inactivating the causative agents of spongiform encephalopathies such as scrapie, bovine spongiform encephalopathy and Creutzfeldt-Jakob disease;detail specified requirements for designating a medical device as sterile;specify a quality management system for the control of all stages of production of medical devices;specify requirements for occupational safety associated with the design and operation of irradiation facilities;specify requirements for the sterilization of used or reprocessed devices.",Published,2006-04,1,37,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11137-1:2006/Amd 1:2013,"Sterilization of health care products — Radiation — Part 1: Requirements for development, validation and routine control of a sterilization process for medical devices — Amendment 1",,Published,2013-07,1,4,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11137-1:2006/Amd 2:2018,"Sterilization of health care products — Radiation — Part 1: Requirements for development, validation and routine control of a sterilization process for medical devices — Amendment 2: Revision to 4.3.4 and 11.2",,Published,2018-11,1,1,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO/DIS 11137-1,"Sterilization of health care products — Radiation — Part 1: Requirements for the development, validation and routine control of a sterilization process for medical devices",,Under development         You can help develop this draft international standard by contacting your national member,,2,50,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11137-2:2006,Sterilization of health care products — Radiation — Part 2: Establishing the sterilization dose,"ISO 11137-2:2006 specifies methods of determining the minimum dose needed to achieve a specified requirement for sterility and methods to substantiate the use of 25 kGy or 15 kGy as the sterilization dose to achieve a sterility assurance level (SAL) of 10-6. It also specifies methods of dose auditing in order to demonstrate the continued effectiveness of the sterilization dose.
ISO 11137-2:2006 defines product families for dose establishment and dose auditing.",Withdrawn,2006-04,1,60,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11137-2:2006/Cor 1:2009,Sterilization of health care products — Radiation — Part 2: Establishing the sterilization dose — Technical Corrigendum 1,,Withdrawn,2009-02,1,1,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11137-2:2012,Sterilization of health care products — Radiation — Part 2: Establishing the sterilization dose,"ISO 11137-2:2011 specifies methods of determining the minimum dose needed to achieve a specified requirement for sterility and methods to substantiate the use of 25 kGy or 15 kGy as the sterilization dose to achieve a sterility assurance level, SAL, of 10-6. ISO 11137-2:2011 also specifies methods of sterilization dose audit used to demonstrate the continued effectiveness of the sterilization dose.
ISO 11137-2:2011 defines product families for sterilization dose establishment and sterilization dose audit.",Withdrawn,2012-03,2,70,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11137-2:2013,Sterilization of health care products — Radiation — Part 2: Establishing the sterilization dose,"ISO 11137-2:2013 specifies methods for determining the minimum dose needed to achieve a specified requirement for sterility and methods to substantiate the use of 25 kGy or 15 kGy as the sterilization dose to achieve a sterility assurance level, SAL, of 10−6. ISO 11137-2:2013 also specifies methods of sterilization dose audit used to demonstrate the continued effectiveness of the sterilization dose.
ISO 11137-2:2013 defines product families for sterilization dose establishment and sterilization dose audit.",Published,2013-06,3,68,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11137-2:2013/Amd 1:2022,Sterilization of health care products — Radiation — Part 2: Establishing the sterilization dose — Amendment 1,,Published,2022-06,3,2,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11137-3:2006,Sterilization of health care products — Radiation — Part 3: Guidance on dosimetric aspects,"ISO 11137-3:2006 gives guidance on the requirements in ISO 11137 parts 1 and 2 relating to dosimetry. Dosimetry procedures related to the development, validation and routine control of a radiation sterilization process are described.",Withdrawn,2006-04,1,15,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11137-3:2017,"Sterilization of health care products — Radiation — Part 3: Guidance on dosimetric aspects of development, validation and routine control","ISO 11137-3:2017 gives guidance on meeting the requirements in ISO 11137-1 and ISO 11137-2 and in ISO/TS 13004 relating to dosimetry and its use in development, validation and routine control of a radiation sterilization process.",Published,2017-06,2,41,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO/TS 11137-4:2020,Sterilization of health care products — Radiation — Part 4: Guidance on process control,"This document provides additional guidance to that given in ISO 11137-3 on meeting the requirements specified in ISO 11137-1, ISO 11137-2 and ISO/TS 13004 for the establishment and control of a radiation sterilization process using gamma, electron beam, and X-irradiation.",Published,2020-06,1,55,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11137:1995,Sterilization of health care products — Requirements for validation and routine control — Radiation sterilization,"Specifies requirements for validation, process control and routine monitoring in the radiation sterilization of health care products. Applies to continuous and batch type gamma irradiators using the radionuclides 60 Co and 137 Cs, and to irradiators using a beam from an electron or x-ray generator. Does not cover facility design, licensing, operator training, factors related to radiation safety, the assessment of the suitability of the product for its intended use.",Withdrawn,1995-03,1,61,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11137:1995/Cor 1:1997,Sterilization of health care products — Requirements for validation and routine control — Radiation sterilization — Technical Corrigendum 1,,Withdrawn,1997-05,1,1,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11138-1:1994,Sterilization of health care products — Biological indicators — Part 1: General,"Specifies general production, labelling and performance requirements for the manufacture of biological indicators and suspensions intended for use in the validation and monitoring of sterilization cycles. Does not contain requirements for product directly inoculated with test organisms, or recovery procedures for such inoculated product.",Withdrawn,1994-10,1,15,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11138-1:2006,Sterilization of health care products — Biological indicators — Part 1: General requirements,"ISO 11138-1:2006 provides general requirements for production, labelling, test methods and performance characteristics of biological indicators, including inoculated carriers and suspensions, and their components, to be used in the validation and routine monitoring of sterilization processes.ISO 11138-1:2006 specifies basic and common requirements that are applicable to all subsequent parts of ISO 11138. Requirements for biological indicators for particular specified processes are provided in the subsequent parts of ISO 11138. If no specific subsequent part is provided, this part applies.",Withdrawn,2006-07,2,38,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11138-1:2017,Sterilization of health care products — Biological indicators — Part 1: General requirements,"﻿ISO 11138-1:2017 specifies general requirements for production, labelling, test methods and performance characteristics of biological indicators, including inoculated carriers and suspensions, and their components, to be used in the validation and routine monitoring of sterilization processes.
ISO 11138-1:2017 specifies basic and common requirements that are applicable to all parts of ISO 11138. Requirements for biological indicators for particular specified processes are provided in the relevant parts of ISO 11138. If no specific subsequent part is provided, this document applies.
NOTE          National or regional regulations can apply.
ISO 11138-1:2017 does not apply to microbiological test systems for processes that rely on physical removal of microorganisms, e.g. filtration processes or processes that combine physical and/or mechanical removal with microbiological inactivation, such as use of washer disinfectors or flushing and steaming of pipelines. This document, however, can contain elements relevant to such microbiological test systems.",Published,2017-03,3,41,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11138-2:1994,Sterilization of health care products — Biological indicators — Part 2: Biological indicators for ethylene oxide sterilization,Provides specific requirements for test organisms and biological indicators intended for use in assessing the performance of sterilizers employing pure ethylene oxide gas or admixtures of the gas with diluent gases at sterilizing temperatures within the range of 20 °C to 65 °C.,Withdrawn,1994-10,1,4,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11138-2:2006,Sterilization of health care products — Biological indicators — Part 2: Biological indicators for ethylene oxide sterilization processes,"ISO 11138-2:2006 provides specific requirements for test organisms, suspensions, inoculated carriers, biological indicators and test methods intended for use in assessing the performance of sterilizers and sterilization processes employing ethylene oxide gas as the sterilizing agent, either as pure ethylene oxide gas or mixtures of this gas with diluent gases, at sterilizing temperatures within the range of 29 °C to 65 °C.",Withdrawn,2006-07,2,5,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11138-2:2017,Sterilization of health care products — Biological indicators — Part 2: Biological indicators for ethylene oxide sterilization processes,"ISO 11138-2:2017 specifies requirements for test organisms, suspensions, inoculated carriers, biological indicators and test methods intended for use in assessing the performance of sterilizers and sterilization processes employing ethylene oxide gas as the sterilizing agent, either as pure ethylene oxide gas or mixtures of this gas with diluent gases, at sterilizing temperatures within the range of 29 °C to 65 °C.
NOTE 1       Requirements for validation and control of ethylene oxide sterilization processes are provided by ISO 11135 and ISO 14937.
NOTE 2       National or regional regulations can provide requirements for work place safety.",Published,2017-03,3,6,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11138-3:1995,Sterilization of health care products — Biological indicators — Part 3: Biological indicators for moist heat sterilization,Gives specific requirements for test organisms and biological indicators intended for use in assessing the performance of sterilizers employing moist heat as the sterilant.,Withdrawn,1995-09,1,5,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11138-3:2006,Sterilization of health care products — Biological indicators — Part 3: Biological indicators for moist heat sterilization processes,"ISO 11138-3:2006 provides specific requirements for test organisms, suspensions, inoculated carriers, biological indicators and test methods intended for use in assessing the performance of sterilization processes employing moist heat as the sterilizing agent.
Moist heat as the sterilizing agent is defined in ISO 11138-3:2006 as dry saturated steam. While air-steam mixtures may be used in moist heat sterilization processes, the methods and performance requirements of this part of ISO 11138 might not be applicable for biological indicators used in such processes.",Withdrawn,2006-07,2,8,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11138-3:2017,Sterilization of health care products — Biological indicators — Part 3: Biological indicators for moist heat sterilization processes,"ISO 11138-3:2017 specifies requirements for test organisms, suspensions, inoculated carriers, biological indicators and test methods intended for use in assessing the performance of sterilization processes employing moist heat as the sterilizing agent.
NOTE 1       Requirements for validation and control of moist heat sterilization processes are provided by the ISO 17665 series.
NOTE 2       National or regional regulations can provide requirements for work place safety.",Published,2017-03,3,8,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11140-1:1995,Sterilization of health care products — Chemical indicators — Part 1: General requirements,Specifies performance requirements for indicators that show exposure to sterilization processes by means of physical and/or chemical change of substances.,Withdrawn,1995-07,1,7,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11138-4:2006,Sterilization of health care products — Biological indicators — Part 4: Biological indicators for dry heat sterilization processes,"ISO 11138-4:2006 provides specific requirements for test organisms, suspensions, inoculated carriers, biological indicators, and test methods intended for use in assessing the performance of sterilization processes employing dry heat as the sterilizing agent at sterilizing temperatures within the range of 120 °C to 180 °C.",Withdrawn,2006-07,1,8,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11138-4:2017,Sterilization of health care products — Biological indicators — Part 4: Biological indicators for dry heat sterilization processes,"ISO 11138-4:2017 specifies requirements for test organisms, suspensions, inoculated carriers, biological indicators and test methods intended for use in assessing the performance of sterilization processes employing dry heat as the sterilizing agent at sterilizing temperatures within the range of 120 °C to 180 °C.
NOTE 1       Requirements for validation and control of dry heat sterilization processes are provided by ISO 20857.
NOTE 2       Requirements for work place safety can be provided by national or regional regulations.",Published,2017-03,2,8,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11138-5:2006,Sterilization of health care products — Biological indicators — Part 5: Biological indicators for low-temperature steam and formaldehyde sterilization processes,"ISO 11138-5:2006 provides specific requirements for test organisms, suspensions, inoculated carriers, biological indicators and test methods intended for use in assessing the performance of sterilization processes employing low-temperature steam and formaldehyde as the sterilizing agent.",Withdrawn,2006-07,1,7,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11138-5:2017,Sterilization of health care products — Biological indicators — Part 5: Biological indicators for low-temperature steam and formaldehyde sterilization processes,"ISO 11138-5:2017 specifies requirements for test organisms, suspensions, inoculated carriers, biological indicators and test methods intended for use in assessing the performance of sterilization processes employing low-temperature steam and formaldehyde as the sterilizing agent.
NOTE 1       Requirements for validation and control of low-temperature steam and formaldehyde sterilization processes are provided by ISO 14937.
NOTE 2       Requirements for work place safety can be provided by national or regional regulations.",Published,2017-03,2,7,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11138-7:2019,"Sterilization of health care products — Biological indicators — Part 7: Guidance for the selection, use and interpretation of results","This document provides guidance for the selection, use and interpretation of results from application of biological indicators when used in the development, validation and routine monitoring of sterilization processes.
It does not consider those processes that rely solely on physical removal of microorganisms, e.g. filtration.
It is not applicable to combination processes using, for example, washer-disinfectors or flushing and steaming of pipelines.
It does not specify requirements for the selection and use of biological indicators intended to monitor vaporised hydrogen peroxide processes for isolator and room biodecontamination processes at atmospheric pressure.
It is not applicable to liquid immersion sterilization processes.",Published,2019-03,1,64,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11138-8:2021,Sterilization of health care products — Biological indicators — Part 8: Method for validation of a reduced incubation time for a biological indicator,"1.1  This document specifies the requirements for a test method to be utilized to establish or confirm a reduced incubation time (RIT) that is shorter than the 7-day reference incubation time specified in 7.3.2 of ISO 11138-1:2017 for biological indicators used to monitor moist heat sterilization processes or ethylene oxide (EO) sterilization processes.
NOTE: For biological indicators used for EO sterilization, the stated RIT is applicable to 100 % EO processes or processes that use EO blends, regardless of the product load.
1.2  This document is applicable to manufacturers of biological indicators (BIs) and to end users of BIs who intend to, if required by their quality system, establish, validate or confirm a RIT.
1.3  This document does not apply to biological indicators used to monitor dry heat, low temperature steam formaldehyde (LTSF) or vaporized hydrogen peroxide (VH2O2) sterilization processes.
NOTE      The method described in this document to establish a RIT for biological indicators used to monitor moist heat or EO sterilization processes has been used extensively for many years. However, there is limited experience in use of this method to establish a RIT for biological indicators used to monitor dry heat, low temperature steam formaldehyde or vaporized hydrogen peroxide sterilization processes. This document, therefore, does not include these sterilization processes.",Published,2021-07,1,7,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11139:2018,Sterilization of health care products — Vocabulary of terms used in sterilization and related equipment and process standards,This document defines terms in the field of the sterilization of health care products including related equipment and processes.,Published,2018-08,1,48,ISO/TC 198 Sterilization of health care products,01.040.11 Health care technology (Vocabularies)                 11.080.01 Sterilization and disinfection in general
False,ISO/TS 11139:2001,Sterilization of health care products — Vocabulary,,Withdrawn,2001-12,1,8,ISO/TC 198 Sterilization of health care products,01.040.11 Health care technology (Vocabularies)                 11.080.01 Sterilization and disinfection in general
False,ISO 11139:2018/DAmd 1,Sterilization of health care products — Vocabulary of terms used in sterilization and related equipment and process standards — Amendment 1: Amended and additional terms and definitions,,Under development         You can help develop this draft international standard by contacting your national member,,1,11,ISO/TC 198 Sterilization of health care products,01.040.11 Health care technology (Vocabularies)                 11.080.01 Sterilization and disinfection in general
False,ISO/TS 11139:2006,Sterilization of health care products — Vocabulary,"ISO/TS 11139:2006 gives definitions of terms in the field of sterilization technology.
ISO/TS 11139:2006 does not provide requirements for the validation and routine control of a sterilization process, but is intended to contribute fundamentally towards mutual understanding amongst those preparing and using International Standards in the field of sterilization technology.",Withdrawn,2006-01,2,13,ISO/TC 198 Sterilization of health care products,01.040.11 Health care technology (Vocabularies)                 11.080.01 Sterilization and disinfection in general
False,ISO 11140-1:1995/Amd 1:1998,Sterilization of health care products — Chemical indicators — Part 1: General requirements — Amendment 1,,Withdrawn,1998-12,1,1,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11140-1:2005,Sterilization of health care products — Chemical indicators — Part 1: General requirements,"ISO 11140-1:2005 specifies general requirements and test methods for indicators that show exposure to sterilization processes by means of physical and/or chemical change of substances, and which are used to monitor the attainment of one or more of the variables required for a sterilization process. They are not dependent for their action on the presence or absence of a living organism.
The requirements and test methods of ISO 11140-1:2005 apply to all indicators specified in subsequent parts of ISO 11140, unless the requirement is modified or added to by a subsequent part, in which case the requirement of that particular part will apply.",Withdrawn,2005-07,2,27,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11140-1:2014,Sterilization of health care products — Chemical indicators — Part 1: General requirements,"ISO 11140-1:2014 specifies general requirements and test methods for indicators that show exposure to sterilization processes by means of physical and/or chemical change of substances, and which are used to monitor the attainment of one or more of the process parameter(s) specified for a sterilization process. They are not dependent for their action on the presence or absence of a living organism.",Published,2014-11,3,31,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
False,ISO 11140-2:1998,Sterilization of health care products — Chemical indicators — Part 2: Test equipment and methods,,Withdrawn,1998-12,1,7,ISO/TC 198 Sterilization of health care products,11.080.01 Sterilization and disinfection in general
